name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Leaf,https://www.autotrader.co.uk/dealers/west-midlands/wednesbury/global-motors-10019709,"£10,795",58300,,Automatic,Electric,3,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/hampshire/southampton/dcc-southampton-13281,"£10,752",70350,109,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/staffordshire/uttoxeter/angus-mackinnon-11805,"£11,295",40275,,Automatic,Electric,2,Hatchback,,,2015 (65 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/lancashire/oldham/bvg-automotive-10011824,"£11,344",57000,,Automatic,Electric,3,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/west-lothian/broxburn/arnold-clark-seat-fiat-abarth-broxburn-123215,"£11,500",43911,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£11,500",41400,,Automatic,Electric,2,Hatchback,,,2015 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/staffordshire/uttoxeter/angus-mackinnon-11805,"£11,395",48762,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/county-down/downpatrick/bells-crossgar-19242,"£9,895",72583,,Automatic,Electric,,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk/dealers/lanarkshire/glasgow/arnold-clark-hondamg-linwood-10017957,"£13,000",27154,,Automatic,Electric,,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/county-antrim/newtownabbey/car-brothers-ni-10027104,"£9,995",62647,,Automatic,Electric,,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk/dealers/hampshire/romsey/ea-car-sales-ltd-474440,"£13,495",33000,,Automatic,Electric,3,Hatchback,,,2015 (65 reg)
Nissan Leaf Tekna,https://www.autotrader.co.uk/dealers/northern-ireland/armagh/shelbourne-motors-nissan-portadown-72513,"£11,995",44396,,Automatic,Electric,,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk,"£11,000",50617,,Automatic,Electric,2,Hatchback,,,2015 (64 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/northern-ireland/belfast/charles-hurst-nissan-belfast-344161,"£10,499",55646,,Automatic,Electric,,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk/dealers/northern-ireland/belfast/charles-hurst-nissan-belfast-344161,"£10,699",60000,,Automatic,Electric,2,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk/dealers/aberdeenshire/peterhead/peterhead-used-car-centre-123323,"£11,000",58941,,Automatic,Electric,,Hatchback,,,2015 (64 reg)
Nissan Leaf Tekna,https://www.autotrader.co.uk/dealers/northern-ireland/armagh/shelbourne-motors-nissan-portadown-72513,"£11,495",52526,,Automatic,Electric,,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk/dealers/county-antrim/newtownabbey/charles-hurst-nissan-newtownabbey-344164,"£11,999",36000,,Automatic,Electric,,Hatchback,,,
Nissan Leaf,https://www.autotrader.co.uk,"£7,795",79700,,Automatic,Electric,2,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk,"£8,500",99000,,Automatic,Electric,3,Hatchback,,,2015 (15 reg)
Nissan Leaf,https://www.autotrader.co.uk/dealers/derbyshire/chesterfield/ball-automotive-ltd-10001273,"£8,450",98000,,Automatic,Electric,2,Hatchback,,,2015 (65 reg)
