name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
Nissan Navara,https://www.autotrader.co.uk/dealers/bedfordshire/henlow/cmh-car-sales-10017331,"£11,000",85500,188,Manual,Diesel,3,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk,"£7,500",125600,,Manual,Diesel,4,Pickup,,2.5L,2011 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/derbyshire/ripley/lynx-motor-company-ltd-17281,"£9,995",112618,,Manual,Diesel,5,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/buckinghamshire/great-missenden/dm-vans-10015897,"£6,990",125000,,Automatic,Diesel,2,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/west-yorkshire/pudsey/yorkshire-trade-sales-10024253,"£7,950",152000,,Automatic,Diesel,,Pickup,,2.5L,2011 (11 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/nelson/ma-car-sales-10031120,"£8,990",88000,,Manual,Diesel,,Pickup,,2.5L,2011 (61 reg)
Nissan Navara,https://www.autotrader.co.uk,"£7,500",125000,,Automatic,Diesel,5,Pickup,,2.5L,2011 (60 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/middlesex/enfield/en3-motor-sales-ltd-10002715,"£8,995",62000,,Manual,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/west-midlands/birmingham/birmingham-cars-ltd-10023575,"£6,995",138000,,Manual,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,850",164416,,Automatic,Diesel,2,Pickup,,3.0L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/hampshire/bordon/tmc-motors-10005862,"£10,000",84486,,Manual,Diesel,2,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£11,995",75400,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/leicestershire/leicester/paul-greasley-cars-ltd-89632,"£7,140",191510,,Manual,Diesel,2,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/kent/sittingbourne/kent-car-centre-limited-10017553,"£11,995",49000,,Manual,Diesel,4,Pickup,,2.5L,2012 (62 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/warwickshire/atherstone/amc-ltd-10032553,"£8,995",100000,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/hampshire/bordon/tmc-motors-10005862,"£12,000",59794,,Manual,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/suffolk/bury-st-edmunds/van-master-582368,"£10,140",99000,,Manual,Diesel,3,Pickup,,2.5L,2012 (62 reg)
Nissan Navara,https://www.autotrader.co.uk,"£9,000",85000,,Automatic,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/essex/grays/fusion-motors-ltd-10019605,"£11,000",70775,,Automatic,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£5,490",196000,,Manual,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/warwickshire/alcester/tiny-little-car-company-10014311,"£13,794",48564,,Automatic,Diesel,,Pickup,,2.5L,2012 (62 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/buckinghamshire/milton-keynes/eclipse-motorcycle-car-sales-489756,"£12,495",82000,,Manual,Diesel,5,Pickup,,2.5L,2012 (62 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,595",133500,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/preston/rogers-of-brock-156500,"£13,495",88000,,Automatic,Diesel,,Pickup,,3.0L,2012 (62 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/oldham/manchester-vehicle-specialist-ltd-10029829,"£7,990",101250,,Manual,Diesel,5,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/south-yorkshire/barnsley/anycolourcar-com-10031287,"£11,759",85202,,Automatic,Diesel,2,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£8,000",118000,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/nelson/clitheroe-road-car-sales-28613,"£12,650",51995,,Automatic,Diesel,2,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/greater-manchester/oldham/tcs-group-19694,"£10,950",85000,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/lancashire/nelson/j13-commercials-10029445,"£12,450",66000,,Automatic,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£11,450",84620,,Automatic,Diesel,3,Pickup,,2.5L,2012 (62 reg)
Nissan Navara,https://www.autotrader.co.uk,"£9,360",128000,,Automatic,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/cumbria/penrith-/hq-auto-leisure-centre-1336096,"£11,994",77739,,Manual,Diesel,,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£12,500",55650,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk,"£6,990",97000,,Manual,Diesel,3,Pickup,,2.5L,2012 (12 reg)
Nissan Navara,https://www.autotrader.co.uk/dealers/south-yorkshire/sheffield/the-car-megastore-hillsborough-10004988,"£10,600",92711,,Manual,Diesel,,Pickup,,2.5L,2012 (12 reg)
